# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
1.278391959798995003e+00	1.747696644719962111e-01	1.909027226228383780e+08	1.000000000000000222e+00	-1.937480650325707435e-32	1.110223024625156417e-16
1.286381909547738900e+00	1.489588225423960632e-01	1.386795675826064944e+08	1.000000000000000222e+00	8.326672684688671588e-17	2.775557561562891043e-17
1.294371859296482574e+00	1.269598524449447041e-01	1.007425258302633464e+08	1.000000000000000222e+00	8.326672684688671588e-17	2.775557561562891043e-17
1.302361809045226249e+00	1.082097982363848659e-01	7.318350271474450827e+07	1.000000000000000444e+00	-1.665334536937734318e-16	-5.551115123125782086e-17
1.310351758793969923e+00	9.222884407050493949e-02	5.316349799113447219e+07	1.000000000000000222e+00	1.110223024625156417e-16	-1.110223024625156417e-16
1.318341708542713819e+00	7.860803566050207636e-02	3.862014544001729786e+07	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.326331658291457494e+00	6.699881509605656871e-02	2.805525765172236413e+07	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.334321608040201168e+00	5.710410120998700434e-02	2.038048984375274554e+07	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.342311557788944842e+00	4.867068724014447095e-02	1.480522372767475992e+07	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.350301507537688517e+00	4.148276124191361408e-02	1.075512175158506446e+07	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.358291457286432413e+00	3.535638343800166783e-02	7.812961561343740672e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.366281407035176088e+00	3.013477918032000241e-02	5.675655726541549899e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.374271356783919762e+00	2.568432707035869442e-02	4.123029106607253198e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.382261306532663436e+00	2.189113957363849131e-02	2.995137448953257408e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.390251256281407111e+00	1.865814862580429667e-02	2.175790688391266391e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.398241206030151007e+00	1.590262165071654188e-02	1.580583596036490751e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.406231155778894681e+00	1.355404442518413216e-02	1.148200751749156509e+06	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.414221105527638356e+00	1.155231661262513289e-02	8.341001194895916851e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.422211055276382030e+00	9.846213789174733735e-03	6.059245373883415014e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.430201005025125705e+00	8.392076605326375879e-03	4.401684359354141634e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.438190954773869601e+00	7.152693538616410052e-03	3.197564053585308720e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.446180904522613275e+00	6.096348646876467020e-03	2.322841676517033193e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.454170854271356950e+00	5.196009953959482286e-03	1.687407465102876595e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.462160804020100624e+00	4.428637698645904175e-03	1.225801991616730811e+05	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.470150753768844298e+00	3.774594744746831952e-03	8.904728429419001623e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.478140703517588195e+00	3.217144064737254526e-03	6.468759958296340483e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.486130653266331869e+00	2.742020437473049500e-03	4.699172549699933734e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.494120603015075543e+00	2.337065399691370862e-03	3.413671676521616610e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.502110552763819218e+00	1.991916109665495694e-03	2.479831117465576608e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.510100502512562892e+00	1.697740161002295797e-03	1.801451033925062802e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.518090452261306789e+00	1.447009560439830363e-03	1.308647917502669043e+04	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
1.526080402010050463e+00	1.233308085713268965e-03	9.506555214285801412e+03	1.000000000000000000e+00	1.387778780781444936e-16	1.942890293094023453e-16
